Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Points,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
luckyluke,1202,273,1007,136,80,False,False,False,True,Challenger
KND Lemon8,0712,446,756,154,139,False,False,False,False,Challenger
K Ô N G S Ơ N,2403,318,914,192,153,False,False,False,False,Challenger
KIGN,2004,442,550,301,256,False,False,True,False,Challenger
PTii,3004,275,773,190,150,False,False,True,False,Challenger
Ngồi Lên Đầu Bạn,VN2,319,513,251,230,False,False,True,True,Challenger
Sonbuiii,VN2,224,531,198,173,False,False,True,False,Challenger
n3an,0707,286,519,230,181,True,False,False,False,Challenger
H2dra,3008,409,626,140,103,False,False,True,False,Challenger
quanvodamidside,2709,228,549,151,107,False,False,True,True,Challenger
Nỗi Sầu Đêm Vắng,VN2,31,703,223,185,False,False,True,False,Challenger
